customerid,recency,frequency,monetary,first_purchase,last_purchase,total_items,r_score,f_score,m_score,rfm_score,customer_segment
12346,326,1,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,74215,1,1,5,7,Lost Customers
12347,2,7,4310.0,2010-12-07 14:57:00,2011-12-07 15:52:00,2458,5,5,5,15,Champions
12348,75,4,1797.24,2010-12-16 19:09:00,2011-09-25 13:13:00,2341,2,4,4,10,At Risk
12349,19,1,1757.55,2011-11-21 09:51:00,2011-11-21 09:51:00,631,4,1,4,9,Potential Loyalists
12350,310,1,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,197,1,1,2,4,Lost Customers
12352,36,8,2506.04,2011-02-16 12:33:00,2011-11-03 14:37:00,536,3,5,5,13,Loyal Customers
12353,204,1,89.0,2011-05-19 17:47:00,2011-05-19 17:47:00,20,1,1,1,3,Lost Customers
12354,232,1,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,530,1,1,4,6,Lost Customers
12355,214,1,459.4,2011-05-09 13:49:00,2011-05-09 13:49:00,240,1,1,2,4,Lost Customers
12356,23,3,2811.43,2011-01-18 09:50:00,2011-11-17 08:40:00,1591,4,3,5,12,Potential Loyalists
12357,33,1,6207.67,2011-11-06 16:07:00,2011-11-06 16:07:00,2708,4,1,5,10,Potential Loyalists
12358,2,2,1168.06,2011-07-12 10:04:00,2011-12-08 10:26:00,248,5,2,4,11,Potential Loyalists
12359,58,4,6372.58,2011-01-12 12:43:00,2011-10-13 12:47:00,1622,3,4,5,12,Loyal Customers
12360,52,3,2662.06,2011-05-23 09:43:00,2011-10-18 15:22:00,1165,3,3,5,11,Needs Attention
12361,287,1,189.9,2011-02-25 13:51:00,2011-02-25 13:51:00,91,1,1,1,3,Lost Customers
12362,3,10,5226.23,2011-02-17 10:30:00,2011-12-06 15:40:00,2229,5,5,5,15,Champions
12363,110,2,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,408,2,2,3,7,Lost Customers
12364,8,4,1313.1,2011-08-19 15:24:00,2011-12-02 10:22:00,1506,5,4,4,13,Champions
12365,291,2,641.38,2011-02-21 13:51:00,2011-02-21 14:04:00,174,1,2,3,6,Lost Customers
12367,4,1,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,173,5,1,1,7,Potential Loyalists
12370,51,4,3545.69,2010-12-14 12:58:00,2011-10-19 14:51:00,2353,3,4,5,12,Loyal Customers
12371,45,2,1887.96,2011-10-11 10:43:00,2011-10-26 10:16:00,591,3,2,4,9,Needs Attention
12372,72,3,1298.04,2011-02-16 12:46:00,2011-09-29 12:12:00,794,3,3,4,10,Needs Attention
12373,311,1,364.6,2011-02-01 13:10:00,2011-02-01 13:10:00,197,1,1,2,4,Lost Customers
12374,25,1,742.9300000000001,2011-11-14 15:37:00,2011-11-14 15:37:00,342,4,1,3,8,Potential Loyalists
12375,11,2,457.5,2011-09-02 14:23:00,2011-11-29 10:36:00,178,5,2,2,9,Potential Loyalists
12377,315,2,1628.12,2010-12-20 09:37:00,2011-01-28 15:45:00,944,1,2,4,7,Lost Customers
12378,130,1,4008.62,2011-08-02 10:34:00,2011-08-02 10:34:00,2529,2,1,5,8,Lost Customers
12379,82,2,852.24,2011-06-22 16:32:00,2011-09-19 10:09:00,407,2,2,3,7,Lost Customers
12380,22,4,2724.81,2011-06-07 09:49:00,2011-11-18 11:27:00,1127,4,4,5,13,Champions
12381,5,5,1845.31,2011-08-12 09:57:00,2011-12-05 12:44:00,808,5,4,4,13,Champions
12383,185,5,1850.56,2010-12-22 14:28:00,2011-06-08 08:02:00,1532,1,4,4,9,At Risk
12384,29,2,585.27,2011-08-10 11:23:00,2011-11-11 08:39:00,126,4,2,3,9,Potential Loyalists
12386,338,2,401.9,2010-12-08 09:53:00,2011-01-06 12:37:00,354,1,2,2,5,Lost Customers
12388,16,6,2780.66,2011-01-17 11:12:00,2011-11-24 12:30:00,1462,4,4,5,13,Champions
12390,80,1,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,353,2,1,3,6,Lost Customers
12391,22,1,460.89,2011-11-18 12:07:00,2011-11-18 12:07:00,300,4,1,2,7,Potential Loyalists
12393,72,4,1582.6000000000001,2011-01-11 09:47:00,2011-09-28 15:41:00,816,3,4,4,11,Loyal Customers
12394,64,2,1272.48,2011-05-06 14:01:00,2011-10-07 08:08:00,819,3,2,4,9,Needs Attention
12395,19,12,3018.63,2010-12-03 16:35:00,2011-11-20 15:21:00,2118,4,5,5,14,Champions
12397,36,2,2409.9,2011-07-27 14:21:00,2011-11-04 09:52:00,1263,3,2,5,10,Needs Attention
12398,46,1,1635.6599999999999,2011-10-25 10:27:00,2011-10-25 10:27:00,1394,3,1,4,8,Needs Attention
12399,119,4,1108.65,2011-03-23 09:42:00,2011-08-12 13:15:00,1178,2,4,4,10,At Risk
12401,303,1,84.3,2011-02-09 13:50:00,2011-02-09 13:50:00,11,1,1,1,3,Lost Customers
12402,323,1,225.6,2011-01-20 13:49:00,2011-01-20 13:49:00,94,1,1,1,3,Lost Customers
