invoice_month,total_revenue,total_orders,total_customers,total_items,average_order_value,revenue_per_customer
2010-12,572713.89,1400,885,312265,409.08135,647.1343389830508
2011-01,569445.04,987,741,349098,576.9453292806485,768.4818353576248
2011-02,447137.35,997,758,265622,448.4827983951855,589.890963060686
2011-03,595500.76,1321,974,348503,450.79542770628314,611.3970841889117
2011-04,469200.361,1149,856,292222,408.3554055700609,548.1312628504672
2011-05,678594.56,1555,1056,373601,436.39521543408364,642.6084848484849
2011-06,661213.6900000001,1393,991,363699,474.66883704235465,667.2186579212917
2011-07,600091.011,1331,949,369420,450.85725845229155,632.3403698630137
2011-08,645343.9,1280,935,398121,504.174921875,690.2073796791444
2011-09,952838.382,1755,1266,544897,542.9278529914529,752.6369526066351
2011-10,1039318.79,1929,1364,593900,538.7863089683774,761.96392228739
2011-11,1161817.3800000001,2657,1664,669051,437.26660895747085,698.2075600961539
2011-12,518192.79,778,615,287413,666.0575706940874,842.5899024390244
